Customer id,Customer name,Stock Value,Sale ids
CUST001,John Smith,245680,"['S001001150720250101', 'S001002200720250102', 'S001003250720250103', 'S001004010820250104', 'S001005050820250105', 'S001006100820250106', 'S001007150820250107', 'S001008200820250108', 'S001009250820250109', 'S001010300820250110', 'S001011050920250111', 'S001012100920250112']"
CUST002,Sarah Johnson,189450,"['S002001160720250201', 'S002002210720250202', 'S002003030820250203', 'S002004080820250204', 'S002005120820250205', 'S002006170820250206', 'S002007220820250207', 'S002008270820250208', 'S002009020920250209', 'S002010070920250210']"
CUST003,Mike Wilson,324750,"['S003001180720250301', 'S003002230720250302', 'S003003280720250303', 'S003004040820250304', 'S003005090820250305', 'S003006140820250306', 'S003007190820250307', 'S003008240820250308', 'S003009290820250309', 'S003010040920250310', 'S003011090920250311', 'S003012110920250312']"
CUST004,Emily Davis,156320,"['S004001190720250401', 'S004002240720250402', 'S004003060820250403', 'S004004110820250404', 'S004005160820250405', 'S004006210820250406', 'S004007260820250407', 'S004008310820250408', 'S004009060920250409']"
CUST005,David Brown,278900,"['S005001220720250501', 'S005002270720250502', 'S005003020820250503', 'S005004070820250504', 'S005005130820250505', 'S005006180820250506', 'S005007230820250507', 'S005008280820250508', 'S005009010920250509', 'S005010080920250510', 'S005011110920250511']"
CUST006,Lisa Anderson,201580,"['S006001120720250601', 'S006002260720250602', 'S006003050820250603', 'S006004150820250604', 'S006005250820250605', 'S006006300820250606', 'S006007050920250607', 'S006008100920250608']"
CUST007,Robert Taylor,171890,"['S007001140720250701', 'S007002290720250702', 'S007003090820250703', 'S007004200820250704', 'S007005270820250705', 'S007006030920250706', 'S007007090920250707', 'SPROD0072011092025105516']"
CUST008,Jennifer Moore,298730,"['S008001170720250801', 'S008002310720250802', 'S008003110820250803', 'S008004220820250804', 'S008005010920250805', 'S008006110920250806']"
CUST009,Christopher Lee,143260,"['S009001130720250901', 'S009002280720250902', 'S009003080820250903', 'S009004190820250904', 'S009005040920250905']"
CUST010,Amanda White,225670,"['S010001210720250101', 'S010002010820251002', 'S010003140820251003', 'S010004240820251004', 'S010005070920251005', 'S010006120920251006']"
